period_key,member_key,source_system,member_tier,group_key,pc_volume,sp_reward_basis,global_reward_usd,pool_reward_usd,cashout_usd,sink_spend_usd,active_member,recognized_revenue_usd,gross_margin_usd,member_join_period,is_affiliate,cross_app_active
2024-04,PARAMS-AGGREGATE,params_tab,aggregate,PARAMS,68058130.00,1131490.50,81018.00,32131.05,113149.05,318.80,true,680581.30,238203.45,2024-04,false,true
2024-05,PARAMS-AGGREGATE,params_tab,aggregate,PARAMS,58290410.00,583377.50,52001.00,6336.75,58337.75,8455.80,true,582904.10,204016.43,2024-04,false,true
2024-06,PARAMS-AGGREGATE,params_tab,aggregate,PARAMS,27728430.00,351120.00,27636.00,7476.00,35112.00,8331.50,true,277284.30,97049.50,2024-04,false,true
2024-07,PARAMS-AGGREGATE,params_tab,aggregate,PARAMS,11692710.00,155988.00,11907.00,3691.80,15598.80,12772.90,true,116927.10,40924.49,2024-04,false,true
2024-08,PARAMS-AGGREGATE,params_tab,aggregate,PARAMS,7140040.00,207728.20,9886.00,10886.82,20772.82,33449.60,true,71400.40,24990.14,2024-04,false,true
2024-09,PARAMS-AGGREGATE,params_tab,aggregate,PARAMS,10490000.00,223269.90,9891.00,12435.99,22326.99,0.00,true,104900.00,36715.00,2024-04,false,true
2024-10,PARAMS-AGGREGATE,params_tab,aggregate,PARAMS,7870000.00,81590.00,8159.00,0.00,8159.00,1300.00,true,78700.00,27545.00,2024-04,false,true
2024-11,PARAMS-AGGREGATE,params_tab,aggregate,PARAMS,11057100.00,126630.00,12663.00,0.00,12663.00,32279.00,true,110571.00,38699.85,2024-04,false,true
2024-12,PARAMS-AGGREGATE,params_tab,aggregate,PARAMS,8159100.00,165590.00,16559.00,0.00,16559.00,35709.00,true,81591.00,28556.85,2024-04,false,true
2025-01,PARAMS-AGGREGATE,params_tab,aggregate,PARAMS,5480000.00,56070.00,5607.00,0.00,5607.00,25290.00,true,54800.00,19180.00,2024-04,false,true
2025-02,PARAMS-AGGREGATE,params_tab,aggregate,PARAMS,5373200.00,65420.00,6542.00,0.00,6542.00,20768.00,true,53732.00,18806.20,2024-04,false,true
2025-03,PARAMS-AGGREGATE,params_tab,aggregate,PARAMS,4160000.00,63110.00,6311.00,0.00,6311.00,19900.00,true,41600.00,14560.00,2024-04,false,true
2025-04,PARAMS-AGGREGATE,params_tab,aggregate,PARAMS,22887500.00,268380.00,26838.00,0.00,26838.00,13875.00,true,228875.00,80106.25,2024-04,false,true
2025-05,PARAMS-AGGREGATE,params_tab,aggregate,PARAMS,11516500.00,150680.00,15068.00,0.00,15068.00,20400.00,true,115165.00,40307.75,2024-04,false,true
2025-06,PARAMS-AGGREGATE,params_tab,aggregate,PARAMS,13440500.00,125290.00,12529.00,0.00,12529.00,0.00,true,134405.00,47041.75,2024-04,false,true
2025-07,PARAMS-AGGREGATE,params_tab,aggregate,PARAMS,0.00,106930.00,10693.00,0.00,10693.00,0.00,true,0.00,0.00,2024-04,false,true
2025-08,PARAMS-AGGREGATE,params_tab,aggregate,PARAMS,0.00,145280.00,14528.00,0.00,14528.00,0.00,true,0.00,0.00,2024-04,false,true
2025-09,PARAMS-AGGREGATE,params_tab,aggregate,PARAMS,0.00,369580.00,36958.00,0.00,36958.00,0.00,true,0.00,0.00,2024-04,false,true
2025-10,PARAMS-AGGREGATE,params_tab,aggregate,PARAMS,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,false,true
2025-11,PARAMS-AGGREGATE,params_tab,aggregate,PARAMS,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,false,true
2025-12,PARAMS-AGGREGATE,params_tab,aggregate,PARAMS,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,false,true
2026-01,PARAMS-AGGREGATE,params_tab,aggregate,PARAMS,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,false,true
2026-02,PARAMS-AGGREGATE,params_tab,aggregate,PARAMS,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,false,true
2026-03,PARAMS-AGGREGATE,params_tab,aggregate,PARAMS,0.00,0.00,0.00,0.00,0.00,0.00,true,0.00,0.00,2024-04,false,true
